
% --------------------------------------------- pr299 ---------------------------------------------

% Name: pr299 ==> 299-city problem (Padberg/Rinaldi)
pr299(1,:) = ... % X-Coordinates
    [2156, 2456, 2355, 2256, 2656, 2556, 2975, 3275, 3375, 3475, 3575, 3700, 3900, 3875, 4275, ...
     4275, 4375, 4500, 4450, 4550, 4560, 4775, 4710, 4860, 5010, 5160, 5310, 5460, 5610, 6375, ...
     6525, 6675, 6675, 6525, 6875, 7075, 7260, 7259, 7625, 7410, 7560, 7409, 7560, 7825, 7710, ...
     7711, 7875, 7975, 8075, 8175, 8275, 8375, 8475, 8825, 8820, 8825, 7725, 7725, 7475, 7625, ...
     7575, 7075, 6825, 6775, 6975, 6675, 6200, 6425, 6000, 6025, 5675, 5275, 5425, 5525, 5025, ...
     4975, 5075, 5075, 4775, 4925, 4675, 4775, 4425, 4525, 4175, 4125, 4275, 3875, 3875, 3975, ...
     3975, 2925, 2925, 4175, 4325, 4275, 4275, 4425, 4525, 4600, 4600, 4775, 5175, 5450, 6775, ...
     7275, 7075, 7425, 7525, 7475, 7775, 7825, 7875, 8825, 8725, 8703, 8825, 8575, 8725, 8625, ...
     8375, 8475, 7975, 8225, 8225, 8125, 7975, 7750, 5350, 5450, 5450, 5250, 5175, 5175, 5075, ...
     4975, 5025, 4875, 4175, 4175, 3925, 3725, 3325, 2925, 2575, 2675, 2275, 2375, 2175, 2148, ...
     2249, 2352, 2451, 2552, 2651, 2925, 3325, 3725, 3925, 4175, 4175, 4975, 5075, 5175, 5450, ...
     5450, 6125, 6025, 7575, 7425, 7925, 7875, 7825, 7750, 8125, 8075, 8025, 8125, 7975, 8775, ...
     8775, 8775, 8775, 8775, 8625, 8525, 8075, 7975, 7975, 7825, 7575, 7600, 7425, 7425, 7425, ...
     7325, 6125, 6025, 5375, 5275, 5450, 5175, 5075, 4525, 4575, 4575, 4425, 4325, 4175, 4275, ...
     4275, 3975, 3875, 2925, 2925, 3925, 3825, 3975, 4325, 4275, 4175, 4125, 4500, 4400, 4725, ...
     4675, 4775, 5175, 4975, 5175, 5025, 5375, 5275, 6050, 5908, 6450, 6675, 6575, 6975, 6875, ...
     6775, 7150, 7150, 7625, 7575, 7475, 7425, 7825, 7725, 7825, 7725, 8225, 8225, 8475, 8325, ...
     8575, 8775, 8675, 8575, 8425, 8325, 8375, 8175, 8225, 8075, 8075, 7925, 7875, 7075, 7150, ...
     6975, 6575, 6375, 5975, 5325, 5275, 5375, 5075, 5204, 4675, 4925, 4925, 4775, 4575, 4425, ...
     4325, 3825, 3625, 3475, 3225, 3325, 3125, 2925, 2575, 2675, 2275, 2375, 2175, 4775];
pr299(2,:) = ... % Y-Coordinates
    [1639, 1639, 1640, 1640, 1640, 1639, 1725, 1600, 1600, 1600, 1600, 1600, 1625, 1775, 1625, ...
     1725, 1675, 1675, 1750, 1750, 1565, 1725, 1565, 1565, 1565, 1565, 1565, 1565, 1565, 1575, ...
     1575, 1575, 1725, 1725, 1575, 1575, 1575, 1576, 1775, 1575, 1575, 1576, 1576, 1675, 1575, ...
     1575, 1575, 1575, 1575, 1575, 1575, 1575, 1575, 1625, 1928, 1825, 1825, 1975, 1975, 1925, ...
     2075, 1975, 1925, 2075, 2075, 1925, 1975, 2075, 1975, 2075, 1825, 1825, 1825, 1825, 1825, ...
     2025, 1925, 2075, 1875, 1925, 1950, 1975, 2050, 2050, 1950, 2050, 2050, 1900, 2075, 1975, ...
     2075, 1875, 2150, 2150, 2150, 2225, 2325, 2150, 2150, 2225, 2325, 2125, 2325, 2375, 2225, ...
     2275, 2175, 2325, 2375, 2175, 2350, 2175, 2350, 2225, 2375, 2197, 2425, 2450, 2525, 2600, ...
     2600, 2600, 2475, 2500, 2600, 2575, 2625, 2650, 2400, 2525, 2675, 2400, 2475, 2675, 2575, ...
     2525, 2675, 2675, 2425, 2625, 2450, 2450, 2450, 2425, 2525, 2525, 2525, 2525, 2525, 2786, ...
     2786, 2786, 2785, 2785, 2787, 2925, 2900, 2900, 2900, 2925, 2725, 2825, 2775, 2875, 2825, ...
     2925, 2875, 2875, 2875, 2875, 2875, 2775, 2925, 2800, 2775, 2875, 2775, 2975, 2975, 2825, ...
     2925, 3025, 3125, 3275, 3225, 3225, 3075, 3275, 3075, 3125, 3075, 3175, 3275, 3125, 3025, ...
     3225, 3025, 3175, 3250, 3250, 3025, 3150, 3275, 3200, 3125, 3025, 3200, 3200, 3200, 3125, ...
     3025, 3275, 3275, 3198, 3475, 3475, 3475, 3375, 3575, 3300, 3400, 3300, 3300, 3300, 3525, ...
     3400, 3375, 3300, 3325, 3475, 3450, 3525, 3525, 3375, 3574, 3375, 3325, 3525, 3525, 3325, ...
     3425, 3325, 3475, 3525, 3425, 3525, 3425, 3525, 3525, 3375, 3375, 3425, 3325, 3525, 3525, ...
     3325, 3700, 3800, 3700, 3625, 3625, 3775, 3625, 3775, 3775, 3675, 3775, 3675, 3675, 3750, ...
     3725, 3750, 3750, 3750, 3775, 3675, 3675, 3800, 3772, 3675, 3800, 3675, 3675, 3675, 3675, ...
     3725, 3650, 3750, 3750, 3750, 3750, 3725, 3725, 3675, 3675, 3675, 3675, 3675, 3225];
pr299_opt_tour_length = 48191; % Known optimum tour length
