
% --------------------------------------------- pr439 ---------------------------------------------

% Name: pr439 ==> 439-city problem (Padberg/Rinaldi)
pr439(1,:) = ... % X-Coordinates
    [7125 , 7225 , 7225 , 7375 , 7500 , 7625 , 7725 , 7825 , 7925 , 8050 , 8050 , 8150 , 8275 , ...
     8400 , 8525 , 8650 , 8750 , 12475, 12075, 11975, 11575, 11525, 11400, 11425, 11000, 10475, ...
     10375, 10300, 10250, 9900 , 9850 , 9350 , 8750 , 8650 , 8525 , 8400 , 8275 , 8050 , 7900 , ...
     7925 , 7825 , 7750 , 7725 , 7600 , 7625 , 7500 , 7425 , 7325 , 7375 , 7225 , 7125 , 7125 , ...
     7125 , 7225 , 7325 , 7425 , 8300 , 8600 , 8950 , 9050 , 9150 , 9350 , 10200, 10700, 11375, ...
     11525, 11650, 11775, 11775, 11650, 11525, 11375, 10250, 10250, 9275 , 9175 , 8950 , 8750 , ...
     8050 , 7900 , 7750 , 7600 , 4975 , 4750 , 4525 , 8750 , 8950 , 11375, 11475, 11575, 11675, ...
     12100, 12225, 12350, 12750, 12875, 13125, 13000, 13000, 12600, 12600, 11975, 11975, 11675, ...
     11575, 11475, 11375, 10975, 10850, 10375, 10475, 10575, 11725, 11850, 12100, 12050, 12225, ...
     12150, 12250, 12350, 12350, 12525, 12750, 12775, 12875, 12875, 12975, 13125, 13075, 13250, ...
     13375, 13500, 13625, 13075, 12975, 12875, 12775, 12525, 12350, 12250, 12150, 12050, 11725, ...
     10975, 10900, 10850, 10800, 10800, 5150 , 11650, 11775, 11850, 11900, 12025, 12150, 12275, ...
     12400, 12525, 12650, 12850, 12975, 13100, 13250, 13375, 13500, 13475, 13625, 13700, 13600, ...
     13600, 13475, 13350, 13250, 13250, 12975, 12850, 12650, 12525, 12400, 12275, 12150, 12025, ...
     11900, 11650, 11000, 4900 , 6150 , 6625 , 7025 , 11225, 11550, 11775, 11850, 11975, 12100, ...
     12225, 12350, 12475, 12600, 12725, 12850, 12975, 13100, 13100, 13225, 13375, 13500, 13625, ...
     13625, 13225, 13100, 12975, 12850, 12725, 12600, 12475, 12350, 12225, 12100, 11975, 11850, ...
     11550, 11225, 11000, 6625 , 4800 , 4550 , 4550 , 4800 , 6150 , 6825 , 7075 , 11450, 11550, ...
     11650, 11750, 11850, 11950, 12050, 12150, 12325, 12500, 12600, 12700, 12800, 13025, 13125, ...
