
% --------------------------------------------- rat575 ---------------------------------------------

% Name: rat575 ==> Rattled grid (Pulleyblank)
rat575(1,:) = ... % X-Coordinates
    [6  , 11 , 24 , 36 , 41 , 51 , 64 , 71 , 86 , 95 , 104, 119, 120, 132, 148, 158, 163, 178, ...
     185, 196, 207, 217, 229, 5  , 12 , 28 , 31 , 45 , 55 , 67 , 75 , 85 , 99 , 108, 113, 122, ...
     131, 141, 151, 166, 177, 182, 191, 203, 211, 224, 1  , 18 , 26 , 38 , 42 , 57 , 69 , 79 , ...
     85 , 95 , 102, 114, 121, 135, 146, 159, 161, 171, 181, 194, 208, 214, 223, 1  , 14 , 25 , ...
     35 , 42 , 54 , 65 , 73 , 81 , 98 , 105, 115, 125, 135, 143, 151, 162, 175, 187, 197, 202, ...
     215, 225, 8  , 16 , 20 , 34 , 47 , 56 , 67 , 78 , 84 , 99 , 101, 115, 127, 132, 149, 156, ...
     164, 171, 189, 198, 208, 216, 229, 1  , 12 , 22 , 37 , 48 , 56 , 68 , 72 , 81 , 98 , 103, ...
     112, 130, 136, 142, 157, 164, 174, 184, 198, 202, 212, 229, 6  , 12 , 22 , 31 , 41 , 53 , ...
     62 , 80 , 84 , 98 , 108, 115, 128, 136, 145, 152, 167, 171, 184, 199, 202, 217, 225, 8  , ...
     16 , 27 , 37 , 42 , 54 , 65 , 75 , 82 , 91 , 101, 115, 127, 139, 147, 155, 163, 177, 183, ...
     199, 201, 218, 228, 3  , 18 , 29 , 33 , 43 , 52 , 68 , 73 , 82 , 93 , 101, 117, 124, 139, ...
     145, 151, 166, 178, 181, 199, 208, 219, 223, 8  , 15 , 24 , 34 , 42 , 51 , 65 , 72 , 83 , ...
     96 , 107, 117, 123, 132, 148, 158, 165, 174, 184, 190, 209, 219, 226, 1  , 17 , 22 , 34 , ...
     44 , 56 , 62 , 74 , 89 , 95 , 108, 119, 124, 133, 141, 157, 167, 176, 182, 196, 205, 219, ...
     228, 6  , 11 , 21 , 38 , 48 , 50 , 63 , 73 , 87 , 96 , 102, 118, 128, 137, 147, 151, 169, ...
     177, 185, 193, 207, 214, 224, 6  , 14 , 23 , 36 , 49 , 51 , 64 , 71 , 81 , 92 , 102, 118, ...
     123, 133, 148, 155, 161, 173, 181, 192, 205, 218, 229, 2  , 15 , 22 , 32 , 44 , 57 , 64 , ...
     71 , 81 , 96 , 102, 115, 120, 135, 149, 158, 163, 175, 185, 200, 204, 215, 227, 4  , 13 , ...
     22 , 38 , 41 , 54 , 68 , 71 , 86 , 96 , 101, 119, 122, 140, 147, 158, 163, 174, 187, 199, ...
     203, 216, 226, 9  , 17 , 24 , 31 , 41 , 52 , 65 , 72 , 87 , 93 , 104, 112, 122, 135, 147, ...
     157, 163, 177, 188, 195, 208, 215, 221, 1  , 18 , 27 , 37 , 46 , 54 , 62 , 71 , 81 , 98 , ...
     108, 112, 124, 138, 145, 151, 162, 179, 182, 196, 209, 212, 229, 9  , 17 , 24 , 37 , 46 , ...
     57 , 68 , 77 , 85 , 96 , 109, 112, 122, 131, 143, 151, 163, 176, 185, 199, 203, 213, 225, ...
     7  , 17 , 22 , 34 , 41 , 56 , 62 , 74 , 82 , 96 , 106, 119, 127, 136, 143, 156, 168, 178, ...
     189, 191, 204, 213, 229, 4  , 17 , 29 , 39 , 45 , 56 , 66 , 75 , 88 , 96 , 102, 119, 126, ...
     135, 143, 156, 167, 171, 186, 193, 208, 212, 226, 9  , 18 , 25 , 39 , 41 , 59 , 61 , 78 , ...
     89 , 94 , 108, 117, 128, 136, 147, 158, 167, 175, 189, 193, 202, 215, 224, 2  , 11 , 29 , ...
     33 , 46 , 54 , 67 , 79 , 84 , 96 , 104, 114, 125, 135, 142, 150, 166, 178, 181, 191, 204, ...
     211, 227, 1  , 16 , 27 , 33 , 43 , 57 , 67 , 77 , 84 , 92 , 102, 116, 126, 134, 147, 154, ...
     167, 177, 189, 198, 203, 213, 221, 7  , 19 , 23 , 33 , 43 , 54 , 68 , 74 , 85 , 94 , 108, ...
