
% --------------------------------------------- rat783 ---------------------------------------------

% Name: rat783 ==> Rattled grid (Pulleyblank)
rat783(1,:) = ... % X-Coordinates
    [13 , 49 , 105, 239, 110, 270, 53 , 131, 88 , 97 , 244, 78 , 254, 174, 10 , 200, 29 , 62 , ...
     123, 141, 201, 167, 39 , 219, 14 , 200, 204, 220, 100, 127, 151, 188, 88 , 231, 167, 140, ...
     26 , 253, 101, 270, 44 , 181, 245, 211, 30 , 54 , 69 , 116, 7  , 159, 189, 13 , 73 , 175, ...
     213, 2  , 25 , 77 , 142, 222, 143, 165, 94 , 125, 67 , 237, 46 , 150, 200, 38 , 132, 179, ...
     228, 107, 243, 82 , 113, 207, 261, 37 , 51 , 163, 71 , 255, 140, 154, 248, 8  , 104, 208, ...
     222, 180, 196, 68 , 96 , 232, 24 , 84 , 138, 40 , 267, 121, 180, 217, 120, 259, 58 , 120, ...
     250, 20 , 59 , 107, 218, 246, 31 , 98 , 15 , 140, 226, 75 , 154, 240, 20 , 160, 0  , 149, ...
     45 , 113, 177, 185, 204, 200, 89 , 260, 262, 60 , 89 , 136, 17 , 110, 190, 240, 90 , 164, ...
     221, 3  , 24 , 231, 254, 154, 63 , 77 , 47 , 181, 31 , 60 , 126, 207, 170, 36 , 81 , 61 , ...
     111, 140, 144, 217, 188, 230, 119, 237, 266, 17 , 151, 220, 42 , 103, 252, 210, 99 , 20 , ...
     249, 137, 170, 59 , 0  , 20 , 76 , 174, 195, 121, 194, 212, 267, 248, 46 , 52 , 182, 100, ...
     259, 109, 170, 78 , 200, 70 , 31 , 120, 226, 82 , 140, 158, 138, 137, 171, 240, 2  , 13 , ...
     113, 255, 141, 201, 175, 60 , 232, 84 , 124, 170, 58 , 190, 187, 36 , 46 , 107, 116, 269, ...
     3  , 14 , 158, 249, 21 , 95 , 213, 11 , 76 , 179, 224, 28 , 236, 51 , 60 , 119, 148, 218, ...
     140, 266, 30 , 76 , 163, 94 , 103, 188, 228, 152, 193, 246, 252, 1  , 73 , 86 , 125, 7  , ...
     206, 207, 44 , 55 , 158, 30 , 25 , 44 , 231, 260, 120, 175, 185, 228, 265, 68 , 166, 191, ...
