
% --------------------------------------------- fl3795 ---------------------------------------------

% Name: fl3795 ==> Drilling problem (Reinelt)
fl3795(1,:) = ... % X-Coordinates
    [2104.61, 1401.10, 295.591, 1235.57, 1347.90, 1401.10, 1211.93, 1211.93, 1353.81, 1300.60, ...
     1176.45, 1211.93, 1377.46, 1330.16, 1306.51, 1235.57, 1152.81, 1152.81, 1235.57, 1306.51, ...
     1377.46, 1306.51, 1129.16, 1129.16, 1377.46, 1667.14, 673.948, 738.978, 1732.17, 1850.40, ...
     857.215, 366.533, 774.450, 1247.40, 1767.64, 2069.14, 1371.54, 1117.33, 1235.57, 1235.57, ...
     1779.46, 1791.28, 1850.40, 1377.46, 1235.57, 331.062, 1755.81, 1743.99, 1229.66, 1217.84, ...
     1140.98, 1200.10, 1223.75, 1247.40, 1341.98, 1377.46, 1170.54, 1200.10, 1223.75, 1330.16, ...
     1347.90, 1182.37, 1176.45, 1223.75, 1330.16, 1324.25, 1276.95, 1194.19, 1140.98, 1200.10, ...
     1294.69, 1341.98, 1247.40, 1223.75, 1365.63, 2104.61, 295.591, 1208.97, 1220.79, 1232.62, ...
     1244.44, 1256.26, 1291.73, 1303.56, 1374.50, 1386.32, 1398.15, 1309.47, 1297.65, 1179.41, ...
     1191.23, 1203.06, 1344.94, 1356.77, 1368.59, 1380.41, 1392.24, 1268.09, 1256.26, 1244.44, ...
     1232.62, 1220.79, 1161.67, 1149.85, 1138.03, 1126.20, 1114.38, 1132.11, 1143.94, 1155.76, ...
     1167.59, 1179.41, 1309.47, 1321.29, 1333.12, 1344.94, 1362.68, 1350.85, 1339.03, 1327.20, ...
     1315.38, 1303.56, 1220.79, 1208.97, 1197.15, 1185.32, 1203.06, 1274.00, 1285.82, 1297.65, ...
     1309.47, 1380.41, 1392.24, 1404.06, 1415.88, 1232.62, 1220.79, 1208.97, 1197.15, 1073.00, ...
     1084.82, 1096.64, 1108.47, 1120.29, 1132.11, 1143.94, 1262.18, 1274.00, 1285.82, 1297.65, ...
     1333.12, 1344.94, 1356.77, 1368.59, 1350.85, 1339.03, 1327.20, 1315.38, 1285.82, 1274.00, ...
     1262.18, 1250.35, 1238.53, 1143.94, 1132.11, 1120.29, 1108.47, 1096.64, 1279.91, 1291.73, ...
     1303.56, 1315.38, 1415.88, 1404.06, 1392.24, 1380.41, 1297.65, 1285.82, 1120.29, 1108.47, ...
     1096.64, 1084.82, 1327.20, 1339.03, 1350.85, 1362.68, 1374.50, 1386.32, 1368.59, 1356.77, ...
     1344.94, 1333.12, 1238.53, 1226.70, 1214.88, 1203.06, 1191.23, 1179.41, 1167.59, 1155.76, ...
     1143.94, 1132.11, 1220.79, 1232.62, 1244.44, 1256.26, 1268.09, 1279.91, 1291.73, 1303.56, ...
     1658.27, 665.081, 670.992, 682.816, 694.640, 706.463, 718.287, 730.111, 1664.18, 1676.00, ...
